,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
0,1,2,10565708,69,Apartment,6,Entire home/apt,5.0
1,0,2,10231628,115,Apartment,8,Entire home/apt,5.0
2,1,2,10987263,67,House,15,Private room,5.0
3,1,1,3295024,78,Loft,17,Private room,5.0
4,2,5,9977528,120,House,5,Entire home/apt,5.0
5,1,2,6724952,60,Condominium,42,Private room,5.0
6,1,3,7603074,95,House,44,Private room,5.0
7,1,2,9239248,55,Apartment,42,Private room,5.0
8,0,2,9971598,120,Apartment,3,Entire home/apt,4.5
9,1,3,9794636,95,Apartment,7,Entire home/apt,5.0
10,1,2,11672215,65,Condominium,5,Private room,5.0
11,1,2,11148618,69,Loft,20,Private room,5.0
12,1,2,1929547,55,House,31,Private room,5.0
13,1,2,4093759,82,House,73,Private room,5.0
14,0,2,6438015,99,House,115,Entire home/apt,5.0
15,1,2,11532068,85,Loft,1,Private room,0.0
16,1,2,8841624,55,House,21,Private room,5.0
17,1,2,6805923,95,House,58,Private room,5.0
0,1,2,1665575,88,House,47,Private room,5.0
1,0,2,9329726,95,House,14,Entire home/apt,4.5
2,1,2,12447224,105,Apartment,0,Entire home/apt,0.0
3,1,3,12338363,115,Apartment,0,Entire home/apt,0.0
4,1,2,6003758,59,House,64,Private room,5.0
5,0,2,6993807,65,Apartment,3,Entire home/apt,2.5
6,1,1,11928325,70,Bungalow,1,Entire home/apt,0.0
7,1,2,1903320,109,Loft,40,Entire home/apt,5.0
8,0,2,10231628,115,Apartment,8,Entire home/apt,5.0
9,1,2,10987263,67,House,15,Private room,5.0
10,1,2,2866362,77,Apartment,30,Private room,4.5
11,1,1,3295024,78,Loft,17,Private room,5.0
12,2,5,9977528,120,House,5,Entire home/apt,5.0
13,1,2,6724952,60,Condominium,42,Private room,5.0
14,1,3,7603074,95,House,44,Private room,5.0
15,1,1,4094189,39,Apartment,119,Private room,4.5
16,0,2,9971598,120,Apartment,3,Entire home/apt,4.5
17,1,3,9794636,95,Apartment,7,Entire home/apt,5.0
0,0,2,5116621,85,Apartment,81,Entire home/apt,5.0
1,1,2,6360642,39,Apartment,8,Private room,5.0
2,0,2,10297019,125,Apartment,20,Entire home/apt,5.0
3,1,1,11590920,61,House,11,Private room,5.0
4,0,2,8450033,119,Apartment,12,Entire home/apt,4.5
5,1,2,9301998,80,Apartment,5,Entire home/apt,4.5
6,1,1,7834595,69,Apartment,59,Private room,5.0
7,0,2,2177545,100,House,66,Entire home/apt,4.5
8,1,2,12233032,52,House,4,Private room,5.0
9,0,2,5750466,90,Apartment,19,Entire home/apt,4.5
10,0,3,3625353,159,Apartment,110,Entire home/apt,5.0
11,1,1,10711534,40,Apartment,12,Private room,5.0
12,1,3,9763293,180,Apartment,25,Entire home/apt,5.0
13,1,1,10947762,45,Apartment,2,Private room,0.0
14,1,2,986942,85,House,18,Private room,5.0
15,0,2,10971937,99,Apartment,16,Entire home/apt,4.0
16,1,2,11259847,50,Condominium,3,Private room,5.0
17,1,2,5652968,75,Apartment,15,Private room,5.0
