,Bedrooms,Capacity,Price,Review_Count,Room_Type,Star_Rating,Avg_Price,log_Price,log_Avg_Price,log_Review_Count,Has_Star_Rating,log_Capacity,City_DA,City_DC,City_LA,City_NY,City_SF
12,1.0,3,150,0,2,0.0,92.9183006536,5.0106352941,4.41407475997,0.0,0,1.09861228867,0.0,0.0,0.0,1.0,0.0
13,1.0,2,65,1,1,0.0,92.9183006536,4.1743872699,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
14,0.0,2,130,0,2,0.0,92.9183006536,4.86753445046,4.41407475997,0.0,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,1.0,2,100,5,1,5.0,92.9183006536,4.60517018599,4.41407475997,1.60943791243,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
16,1.0,2,200,2,2,0.0,92.9183006536,5.29831736655,4.41407475997,0.69314718056,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
17,1.0,1,68,46,1,4.5,92.9183006536,4.21950770518,4.41407475997,3.82864139649,1,0.0,0.0,0.0,0.0,1.0,0.0
0,1.0,1,42,14,1,5.0,92.9183006536,3.73766961828,4.41407475997,2.63905732962,1,0.0,0.0,0.0,0.0,1.0,0.0
1,1.0,3,130,25,2,5.0,92.9183006536,4.86753445046,4.41407475997,3.21887582487,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
2,1.0,2,80,8,1,5.0,92.9183006536,4.38202663467,4.41407475997,2.07944154168,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
3,0.0,2,115,4,2,4.5,92.9183006536,4.74493212836,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
4,1.0,3,99,4,2,5.0,92.9183006536,4.59511985013,4.41407475997,1.38629436112,1,1.09861228867,0.0,0.0,0.0,1.0,0.0
5,1.0,1,33,9,1,4.5,92.9183006536,3.49650756147,4.41407475997,2.19722457734,1,0.0,0.0,0.0,0.0,1.0,0.0
6,0.0,2,119,2,2,0.0,92.9183006536,4.77912349311,4.41407475997,0.69314718056,0,0.69314718056,0.0,0.0,0.0,1.0,0.0
7,1.0,2,75,4,1,5.0,92.9183006536,4.31748811354,4.41407475997,1.38629436112,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
8,0.0,2,95,16,2,5.0,92.9183006536,4.5538768916,4.41407475997,2.77258872224,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
9,1.0,1,26,1,0,0.0,92.9183006536,3.25809653802,4.41407475997,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0
10,1.0,1,45,12,1,4.5,92.9183006536,3.80666248977,4.41407475997,2.48490664979,1,0.0,0.0,0.0,0.0,1.0,0.0
11,1.0,1,52,2,0,0.0,92.9183006536,3.95124371858,4.41407475997,0.69314718056,0,0.0,0.0,0.0,0.0,1.0,0.0
12,1.0,1,70,7,1,5.0,92.9183006536,4.24849524205,4.41407475997,1.94591014906,1,0.0,0.0,0.0,0.0,1.0,0.0
13,0.0,1,125,11,2,5.0,92.9183006536,4.8283137373,4.41407475997,2.3978952728,1,0.0,0.0,0.0,0.0,1.0,0.0
14,1.0,2,49,12,1,5.0,92.9183006536,3.89182029811,4.41407475997,2.48490664979,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
15,1.0,2,77,9,1,5.0,92.9183006536,4.34380542185,4.41407475997,2.19722457734,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
16,1.0,4,100,3,2,5.0,92.9183006536,4.60517018599,4.41407475997,1.09861228867,1,1.38629436112,0.0,0.0,0.0,1.0,0.0
17,1.0,2,120,3,2,5.0,92.9183006536,4.78749174278,4.41407475997,1.09861228867,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
0,0.0,2,110,7,2,4.5,92.9183006536,4.70048036579,4.41407475997,1.94591014906,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
1,1.0,2,85,10,1,4.5,92.9183006536,4.44265125649,4.41407475997,2.30258509299,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
2,1.0,2,89,76,1,4.5,92.9183006536,4.48863636973,4.41407475997,4.33073334029,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
3,1.0,2,45,150,0,5.0,92.9183006536,3.80666248977,4.41407475997,5.0106352941,1,0.69314718056,0.0,0.0,0.0,1.0,0.0
