,Bedrooms,Capacity,Id,Price,Property_Type,Review_Count,Room_Type,Star_Rating
10,0,3,7837187,110,Apartment,8,Entire home/apt,5.0
11,1,2,8596334,52,House,5,Private room,5.0
12,1,2,7526820,75,House,88,Private room,5.0
13,1,3,6485666,100,Apartment,15,Entire home/apt,4.5
14,1,4,5562632,139,Apartment,18,Entire home/apt,5.0
15,1,2,1978626,68,Apartment,20,Entire home/apt,5.0
16,0,2,8625810,100,Apartment,26,Entire home/apt,4.5
17,1,2,5172287,100,Apartment,20,Entire home/apt,4.5
0,1,1,11574586,15,House,3,Shared room,4.5
1,1,3,3601131,115,Apartment,23,Entire home/apt,5.0
2,1,1,10861201,44,Apartment,1,Private room,0.0
3,1,2,10120462,70,Apartment,8,Entire home/apt,5.0
4,1,3,6935575,129,Apartment,50,Entire home/apt,5.0
5,1,2,1025018,45,House,46,Private room,4.5
6,1,2,12252888,65,Apartment,3,Private room,5.0
7,1,4,1382087,52,Apartment,119,Shared room,4.5
8,1,3,8848192,85,Apartment,6,Entire home/apt,4.5
9,1,2,6289478,135,Apartment,5,Entire home/apt,4.5
10,1,2,8453546,95,Apartment,10,Entire home/apt,4.5
11,1,3,4284144,145,Apartment,88,Entire home/apt,5.0
12,1,2,12219541,41,Apartment,0,Private room,0.0
13,1,4,9415192,86,Apartment,17,Entire home/apt,5.0
14,1,2,748316,110,Cabin,273,Entire home/apt,5.0
15,1,2,11303167,90,House,0,Private room,0.0
16,1,2,5019362,105,Apartment,24,Entire home/apt,5.0
17,0,3,8581661,104,Apartment,4,Entire home/apt,5.0
0,1,4,1382087,52,Apartment,119,Shared room,4.5
1,1,3,8848192,85,Apartment,6,Entire home/apt,4.5
2,1,2,6289478,135,Apartment,5,Entire home/apt,4.5
3,1,2,8453546,95,Apartment,10,Entire home/apt,4.5
4,1,3,4284144,145,Apartment,88,Entire home/apt,5.0
5,1,2,12219541,41,Apartment,0,Private room,0.0
6,1,4,9415192,86,Apartment,17,Entire home/apt,5.0
7,1,2,748316,110,Cabin,273,Entire home/apt,5.0
8,1,2,11303167,90,House,0,Private room,0.0
9,1,2,5019362,105,Apartment,24,Entire home/apt,5.0
10,0,3,8581661,104,Apartment,4,Entire home/apt,5.0
11,1,2,9669479,40,House,24,Private room,4.5
12,1,2,6234417,88,House,5,Private room,5.0
13,1,4,1391504,175,Apartment,180,Entire home/apt,4.5
14,1,1,9085732,75,Apartment,28,Private room,5.0
15,0,2,4392242,125,Apartment,137,Entire home/apt,5.0
16,1,2,11513430,95,Apartment,7,Entire home/apt,4.5
17,1,3,11848929,100,Apartment,2,Entire home/apt,0.0
0,1,2,11513430,95,Apartment,7,Entire home/apt,4.5
1,1,3,11848929,100,Apartment,2,Entire home/apt,0.0
2,1,2,4217247,99,Apartment,10,Entire home/apt,5.0
3,1,2,9694573,89,Apartment,14,Entire home/apt,5.0
4,1,2,7500166,69,House,21,Entire home/apt,5.0
5,1,2,8015316,115,Condominium,9,Private room,5.0
6,1,2,62122,75,House,80,Private room,5.0
7,1,2,6391915,80,Townhouse,46,Private room,4.5
8,1,2,741202,125,Condominium,174,Private room,5.0
9,1,4,4879922,69,House,66,Private room,5.0
10,1,2,12422935,39,Apartment,0,Shared room,0.0
11,1,2,4634946,75,House,77,Private room,5.0
12,1,1,8905219,40,House,43,Private room,4.5
13,1,3,2432009,135,Apartment,69,Entire home/apt,4.5
14,1,1,8829023,40,House,43,Private room,4.5
15,1,1,4545827,70,House,16,Private room,5.0
16,1,2,4734983,95,Apartment,22,Entire home/apt,4.5
17,1,2,8628658,60,House,24,Private room,5.0
0,1,1,7112427,70,Apartment,51,Private room,4.5
1,1,3,7582553,129,Apartment,7,Entire home/apt,5.0
2,1,3,6247860,65,House,16,Private room,4.5
3,1,2,9825595,45,House,7,Private room,5.0
4,3,12,4726,70,House,432,Entire home/apt,5.0
5,1,4,2274224,55,Apartment,8,Entire home/apt,5.0
6,1,2,7564295,100,House,11,Entire home/apt,5.0
7,1,1,11574687,15,House,4,Shared room,4.5
8,1,2,7645438,110,House,9,Private room,5.0
9,1,2,6714866,31,House,13,Private room,4.5
10,0,2,2241400,105,Apartment,40,Entire home/apt,5.0
11,1,1,3378749,99,House,12,Entire home/apt,5.0
12,1,2,9486921,65,Apartment,13,Entire home/apt,4.5
13,1,4,9282899,90,House,13,Entire home/apt,5.0
14,1,4,7062828,75,Condominium,56,Entire home/apt,4.5
15,1,4,4915180,175,Apartment,9,Entire home/apt,5.0
16,1,2,3861766,145,Apartment,50,Entire home/apt,5.0
17,1,2,8506683,50,House,9,Private room,5.0
0,1,2,9486921,65,Apartment,13,Entire home/apt,4.5
1,1,4,9282899,90,House,13,Entire home/apt,5.0
2,1,4,7062828,75,Condominium,56,Entire home/apt,4.5
3,1,4,4915180,175,Apartment,9,Entire home/apt,5.0
4,1,2,3861766,145,Apartment,50,Entire home/apt,5.0
5,1,2,8506683,50,House,9,Private room,5.0
6,1,2,7591810,90,Apartment,4,Entire home/apt,5.0
7,2,5,7559554,189,House,8,Entire home/apt,5.0
8,1,3,2538245,125,Apartment,11,Entire home/apt,5.0
9,1,2,2481127,80,House,37,Private room,5.0
10,1,2,12199228,59,Apartment,1,Entire home/apt,0.0
11,1,2,9548138,66,House,4,Private room,4.5
12,1,2,4964259,95,Apartment,7,Entire home/apt,4.5
13,1,1,6014997,48,Apartment,13,Private room,5.0
14,1,4,5509120,149,House,37,Entire home/apt,5.0
15,0,2,11281257,130,Apartment,2,Entire home/apt,0.0
16,1,2,12290637,85,Condominium,1,Private room,0.0
17,1,3,1936134,129,House,38,Entire home/apt,5.0
