from,to
104726,5557975
104726,5557975
104726,234466
104726,5557975
104726,5557975
104726,577614
104726,5557975
104726,5557975
104726,5557975
104726,49778
261479,63893
261479,64034
261479,63893
261479,63893
261479,63475
261479,63893
261479,64034
261479,113530
261479,106486
261479,21704
261479,63893
261479,113530
261479,100297
261479,63893
234466,127880
234466,127880
234466,125692
234466,179776
234466,376735
261479,616137
261479,568430
439455,276369
439455,276369
261479,63893
261479,113530
234466,127880
234466,127880
234466,188739
234466,188739
261479,96643
234466,223293
261479,277050
261479,100297
261479,179894
234466,303154
234466,376066
234466,328356
234466,595289
234466,1045452
234466,373734
234466,693309
234466,1045452
234466,1214991
261479,690912
234466,599418
234466,1045452
261479,608029
261479,568430
439455,308449
234466,49778
234466,62134
234466,69500
234466,87657
234466,119906
234466,127880
234466,127880
261479,63893
261479,113530
210826,104726
234466,127880
234466,69500
234466,88843
234466,119906
234466,119906
261479,106486
261479,106486
234466,154734
234466,188739
234466,188739
234466,188739
234466,188739
234466,188739
234466,188739
234466,230110
261479,143352
234466,213124
261479,44912
261479,63893
261479,63893
261479,73152
234466,273015
234466,320173
234466,347055
234466,350442
234466,353528
234466,463770
234466,522279
234466,463770
234466,582325
234466,693368
234466,693368
234466,693368
234466,737914
234466,737914
234466,737914
234466,870070
234466,911575
234466,911575
234466,1002607
234466,1154289
234466,1641610
234466,1359457
234466,1359457
234466,1359457
234466,1550288
234466,1359457
234466,1359457
234466,2075544
234466,2138399
234466,2272876
234466,1820789
261479,612340
261479,690912
261479,690912
261479,690912
261479,690912
261479,690912
261479,724960
261479,1046170
261479,1549563
261479,1351765
261479,2124438
234466,826084
234466,911575
234466,918663
234466,1122559
234466,1853979
234466,737914
234466,911575
234466,911575
234466,870070
261479,1549563
234466,693368
439455,38072
439455,155013
439455,193588
439455,1407497
439455,471119
439455,1407497
439455,2294696
439455,1407497
439455,964605
234466,2
234466,38731
234466,54650
234466,54650
234466,54650
234466,54650
234466,54650
234466,127880
234466,127880
261479,34036
261479,49568
261479,100297
261479,129363
234466,131183
234466,188739
234466,188739
234466,229095
261479,172567
261479,179894
261479,180930
234466,188739
234466,188739
234466,166154
234466,49778
234466,54650
234466,54650
234466,59321
234466,188739
234466,188739
234466,522279
261479,363779
234466,534335
234466,534335
234466,554511
234466,582325
234466,582325
234466,582325
234466,582325
234466,582325
234466,582325
234466,582325
234466,582325
234466,693368
234466,710924
234466,737914
234466,737914
234466,831806
234466,862946
234466,862946
234466,1113979
234466,1285732
234466,2735726
261479,691450
