efid,id,salesArea,score,scoreAlt,smartwayScore,standard,stdText
6TYXV01.8PEA,22123,7,6.0,-1.0,1,U2,ULEV II
6TYXV01.8VMB,22124,3,1.0,-1.0,-1,B9,BIN 9
6TYXV01.8VMB,22124,7,1.0,-1.0,-1,L1,LEV
6TYXV01.8PEA,22125,3,5.0,-1.0,1,B5,BIN 5
6TYXV01.8PEA,22125,7,6.0,-1.0,1,U2,ULEV II
6TYXV01.8VRA,22126,3,1.0,-1.0,-1,B10,BIN 10
6TYXV01.8VRA,22126,7,1.0,-1.0,-1,L1,LEV
6TYXV01.5VMB,22127,3,1.0,-1.0,-1,B9,BIN 9
6TYXV01.5VMB,22127,7,1.0,-1.0,-1,L1,LEV
6TYXV01.5VMB,22128,3,1.0,-1.0,-1,B9,BIN 9
6TYXV01.5VMB,22128,7,1.0,-1.0,-1,L1,LEV
6VVXB02.5U2T,22129,3,5.0,-1.0,-1,B5,BIN 5
6VVXB02.5U2T,22129,7,6.0,-1.0,1,U2,ULEV II
6VVXB02.5U2T,22130,3,5.0,-1.0,-1,B5,BIN 5
6VVXB02.5U2T,22130,7,6.0,-1.0,1,U2,ULEV II
6VVXV02.4U2N,22131,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.4U2N,22131,7,6.0,-1.0,1,U2,ULEV II
6VVXV02.4S2N,22132,7,9.0,-1.0,1,S2,SULEV II
6VVXV02.4U2N,22132,3,5.0,-1.0,-1,B5,BIN 5
6VVXV02.4U2N,22132,7,6.0,-1.0,1,U2,ULEV II
6VVXB02.5U2T,22133,3,5.0,-1.0,1,B5,BIN 5
6VVXB02.5U2T,22133,7,6.0,-1.0,1,U2,ULEV II
6VVXB02.5U2T,22134,3,5.0,-1.0,-1,B5,BIN 5
6VVXB02.5U2T,22134,7,6.0,-1.0,1,U2,ULEV II
6ADXV03.1364,22135,3,1.0,-1.0,-1,B9,BIN 9
6ADXV03.1364,22135,7,1.0,-1.0,-1,L1,LEV
6ADXV03.1374,22135,3,5.0,-1.0,-1,B5,BIN 5
6ADXV03.1374,22135,7,5.0,-1.0,-1,L2,LEV II
6BMXV03.0N52,22136,3,5.0,-1.0,-1,B5,BIN 5
6BMXV03.0N52,22136,7,6.0,-1.0,1,U2,ULEV II
6BMXV03.0N52,22137,3,5.0,-1.0,-1,B5,BIN 5
6BMXV03.0N52,22137,7,6.0,-1.0,1,U2,ULEV II
6FMXV02.0VD4,22138,8,1.0,-1.0,-1,L1,LEV
6FMXV02.0VD4,22138,1,6.0,-1.0,1,B4,BIN 4
